municid,sex,1998-2002,2000-2004,2002-2006,2004-2008,2006-2010,2008-2012
88005,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88006,1,0.0000,0.0000,0.0000,1.5523,1.4735,1.4014
88007,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88008,1,2.1800,2.1479,2.0619,0.0000,0.0000,0.0000
88009,1,0.0000,1.2221,1.2151,1.2114,0.0000,0.0000
88010,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88011,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88012,1,0.6117,0.0000,0.7186,1.2679,2.0085,1.9998
